symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
NMDC,Basic Materials,108,81.061,90.19,11.2619,2026-04-07,35.73,35.73,-5.67
BHEL,Industrials,30,291.311,419.4,43.9698,2026-04-14,57.64,57.64,-26.47
SONACOMS,Consumer Cyclical,15,581.9814,594.65,2.1768,2026-04-14,24.75,64.33,-29.7
VMM,Consumer Cyclical,75,122.6225,121.05,-1.2824,2026-05-19,18.03,18.03,-2.41
JSWSTEEL,Basic Materials,7,1299.298,1289.4,-0.7618,2026-05-19,16.73,16.73,-7.85
INDUSTOWER,Communication Services,21,432.432,438.85,1.4842,2026-05-19,16.66,16.66,-16.05
WIPRO,Technology,45,207.197,207.197,0.0,2026-05-26,69.17,69.17,69.17
GAIL,Utilities,55,167.9678,167.9678,0.0,2026-05-26,67.71,67.71,67.71
TORNTPHARM,Healthcare,2,4576.8721,4576.8721,0.0,2026-05-26,63.23,63.23,63.23
EICHERMOT,Consumer Cyclical,1,7422.415,7422.415,0.0,2026-05-26,60.7,60.7,60.7
