symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
NMDC,Basic Materials,120,81.061,90.19,11.2619,2026-04-07,35.73,35.73,-5.67
BHEL,Industrials,34,291.311,419.4,43.9698,2026-04-14,57.64,57.64,-26.47
SONACOMS,Consumer Cyclical,17,581.9814,594.65,2.1768,2026-04-14,24.75,64.33,-29.7
INDUSINDBK,Financial Services,12,891.0402,926.1,3.9347,2026-04-28,61.8,61.8,-10.84
INDUSTOWER,Communication Services,24,432.432,438.85,1.4842,2026-05-19,16.66,16.66,-16.05
WIPRO,Technology,51,207.197,207.197,0.0,2026-05-26,69.17,69.17,69.17
GAIL,Utilities,63,167.9678,167.9678,0.0,2026-05-26,67.71,67.71,67.71
TORNTPHARM,Healthcare,2,4576.8721,4576.8721,0.0,2026-05-26,63.23,63.23,63.23
EICHERMOT,Consumer Cyclical,1,7422.415,7422.415,0.0,2026-05-26,60.7,60.7,60.7
DIVISLAB,Healthcare,1,6761.755,6761.755,0.0,2026-05-26,47.7,47.7,47.7
