symbol,current_price,forward_return_30d,enhanced_rsi_14,enhanced_price_change_20d,enhanced_macd_histogram,enhanced_volume_ratio,volatility,pe_ratio,pb_ratio,roe,debt_to_equity,net_margin,revenue_growth,real_rsi,old_score,improved_score,quintile
360ONE,1093.199951171875,-0.3030486547721202,49.41585607206171,3.422441489570558,-9.49539087725513,0.9067379913457743,1.6731757618649596,39.50849,4.7295804,16.991,1.47235,28.559,24.4,49.41585607206171,50,65.10000000000001,Q3
3MINDIA,30700.0,1.0699588477366255,75.80174927113703,4.6888320545609545,122.74137247562192,1.268590239615985,1.198480772654241,69.703026,18.729391,10.0,0.053899999999999997,10.808,14.299999999999999,75.80174927113703,50,70.875,Q4
ABB,5254.5,-3.3388520971302427,59.48581560283688,0.6995017247987735,6.275693109013043,0.5366159863947918,0.9168905196751594,61.752266,15.475851,26.575001999999998,0.01018,14.234,12.2,59.48581560283688,50,74.55,Q4
ACC,1882.0,1.2862614890528594,53.94825411714389,2.650811330793431,2.2695826959849708,1.9839527883681571,0.8688663299267967,14.666458,1.9047079,10.0,0.02316,10.674,18.099999999999998,53.94825411714389,50,93.34500000000001,Q5 (Best)
ACMESOLAR,274.8999938964844,-9.527731323187323,42.23603829990035,-4.647934257321943,0.012317826570213741,0.6580849429264524,2.28188678180778,43.56577,3.4969215,10.0,2.43402,20.973,88.6,42.23603829990035,50,44.31,Q1 (Worst)
AIAENG,3270.89990234375,4.281699945997334,55.53935860058309,2.91674383600989,-11.824394091103116,0.7287128112056402,1.3076976151379567,27.649195,4.408506,10.0,0.07072,25.686999999999998,1.9,55.53935860058309,50,71.82000000000001,Q4
APLAPOLLO,1799.699951171875,6.058101554527892,68.6084142394822,3.312281927202928,2.6793075489827665,2.154960370767668,0.96751534608874,47.61111,30.764627,24.81,0.15534,4.918,9.1,68.6084142394822,50,78.22500000000001,Q4
AUBANK,867.9500122070312,20.607237235031608,78.40044331674906,13.76236952880572,3.1195561516525743,0.6627936519655829,1.7585464991863222,29.867516,3.5343008,12.654000000000002,0.5,24.002000000000002,6.1,78.40044331674906,50,78.64500000000001,Q5 (Best)
AWL,275.45001220703125,6.1055492029516465,60.869569490665846,3.5331797952861725,1.1086558956317667,1.4510954711824422,1.568119085835184,31.019146,3.7859943,10.0,0.20556999999999997,1.725,20.4,60.869569490665846,50,78.22500000000001,Q4
AADHARHFC,509.1000061035156,-5.468384060343603,46.59421164808852,-1.680181903158257,-0.23724840652036516,0.35345204382404194,1.3575756871006723,23.602226,3.4464552,17.538,2.57368,48.196,18.0,46.59421164808852,50,65.10000000000001,Q3
AARTIIND,388.70001220703125,-0.5627991107197894,56.377097729516294,2.9805271257560264,1.3283245585432915,0.6623004207031113,1.3053356038303647,59.434254,2.5139701,10.0,0.68647,3.338,-9.700000000000001,56.377097729516294,50,68.88,Q3
AAVAS,1663.199951171875,0.8061050100617927,58.82109936866534,-0.5144214263110218,3.636933619998885,0.4066221653932805,1.539945742603714,22.650143,3.0181503,14.438999999999998,3.1917,42.853,15.6,58.82109936866534,50,68.46000000000001,Q3
ABBOTINDIA,28825.0,-6.685011330527679,24.34210526315789,-3.980679546968688,-47.31580504910653,0.8539986611484651,1.1057099777252954,42.12457,14.469394,10.0,0.04646,22.038000999999998,11.600000000000001,24.34210526315789,50,45.36000000000001,Q1 (Worst)
ACE,1094.0,-4.462490321841994,53.97225016567238,0.21986299631183487,0.460757299730818,0.2513319877942609,2.4807962906224295,30.764904,8.062495,10.0,0.010169999999999998,13.028999999999998,-11.200000000000001,53.97225016567238,50,66.15,Q3
