symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
HINDZINC,Basic Materials,19,500.3499,634.5,26.8113,2025-12-02,67.93,67.93,-7.42
INDUSTOWER,Communication Services,24,407.8074,438.85,7.6121,2025-12-16,29.89,54.91,-16.05
SONACOMS,Consumer Cyclical,20,489.9895,594.65,21.3597,2026-01-28,71.81,71.81,-29.7
DMART,Consumer Defensive,2,4079.075,4097.2002,0.4443,2026-03-31,65.44,65.44,13.03
TRENT,Consumer Cyclical,2,3822.0182,4300.0,12.506,2026-04-07,71.75,71.75,-10.52
ADANIGREEN,Utilities,9,922.0211,1411.1,53.0442,2026-04-07,68.83,68.83,-17.67
ADANIPOWER,Utilities,54,163.163,233.38,43.0349,2026-04-07,54.64,54.64,15.1
NMDC,Basic Materials,110,81.061,90.19,11.2619,2026-04-07,35.73,35.73,-5.67
BHEL,Industrials,30,291.311,419.4,43.9698,2026-04-14,57.64,57.64,-26.47
PAYTM,Technology,7,1126.7757,1097.4,-2.6071,2026-04-28,66.78,66.78,3.3
