symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
OLAELEC,Consumer Cyclical,342,28.7187,35.09,22.1852,2026-04-07,37.35,48.9,-2.35
ADANIGREEN,Utilities,10,922.0211,1365.0,48.0443,2026-04-07,28.1,35.9,-25.8
ADANIPOWER,Utilities,60,163.163,230.19,41.0798,2026-04-07,16.05,28.2,-21.35
DMART,Consumer Defensive,2,4490.1859,4386.5,-2.3092,2026-04-07,7.15,20.2,-10.45
GICRE,Financial Services,26,400.4,399.35,-0.2622,2026-04-16,18.25,18.25,10.8
ADANIENSOL,Utilities,8,1183.3322,1387.1,17.2198,2026-04-16,2.15,2.15,-21.15
ABFRL,Consumer Cyclical,163,64.2642,67.79,5.4864,2026-04-16,0.7,0.7,-15.6
BHEL,Industrials,35,294.6644,406.45,37.9366,2026-04-16,-8.4,-1.8,-14.0
HDFCLIFE,Financial Services,18,626.1255,626.1255,0.0,2026-05-08,42.35,42.35,42.35
CGPOWER,Industrials,9,861.2103,861.2103,0.0,2026-05-08,28.25,28.25,28.25
