symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
AUBANK,Financial Services,13,725.725,999.3,37.6968,2025-06-03,54.78,88.57,1.19
POLYCAB,Industrials,1,6315.309,9398.5,48.8209,2025-06-24,65.08,68.81,-27.57
ABCAPITAL,Financial Services,32,279.279,363.65,30.2103,2025-08-05,69.28,69.28,-13.67
BAJAJ-AUTO,Consumer Cyclical,1,8617.609,10491.0,21.7391,2025-08-19,68.54,81.18,2.06
ASHOKLEY,Industrials,67,131.8918,164.08,24.405,2025-08-19,62.3,65.97,22.0
HINDZINC,Basic Materials,19,500.3499,634.5,26.8113,2025-12-02,67.93,67.93,-7.42
POWERGRID,Utilities,35,276.326,295.35,6.8846,2026-02-03,52.46,52.46,10.86
DMART,Consumer Defensive,2,4079.075,4097.2002,0.4443,2026-03-31,65.44,65.44,13.03
TRENT,Consumer Cyclical,2,3822.0182,4300.0,12.506,2026-04-07,71.75,71.75,-10.52
ADANIGREEN,Utilities,7,922.0211,1411.1,53.0442,2026-04-07,68.83,68.83,-17.67
