Symbol,Company Name
360ONE,360 ONE WAM Ltd.
3MINDIA,3M India Ltd.
ABB,ABB India Ltd.
ACC,ACC Ltd.
ACMESOLAR,ACME Solar Holdings Ltd.
AIAENG,AIA Engineering Ltd.
APLAPOLLO,APL Apollo Tubes Ltd.
AUBANK,AU Small Finance Bank Ltd.
AWL,AWL Agri Business Ltd.
AADHARHFC,Aadhar Housing Finance Ltd.
AARTIIND,Aarti Industries Ltd.
AAVAS,Aavas Financiers Ltd.
ABBOTINDIA,Abbott India Ltd.
ACE,Action Construction Equipment Ltd.
ADANIENSOL,Adani Energy Solutions Ltd.
ADANIENT,Adani Enterprises Ltd.
ADANIGREEN,Adani Green Energy Ltd.
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.
ADANIPOWER,Adani Power Ltd.
ATGL,Adani Total Gas Ltd.
ABCAPITAL,Aditya Birla Capital Ltd.
ABFRL,Aditya Birla Fashion and Retail Ltd.
ABREL,Aditya Birla Real Estate Ltd.
ABSLAMC,Aditya Birla Sun Life AMC Ltd.
AEGISLOG,Aegis Logistics Ltd.
AFCONS,Afcons Infrastructure Ltd.
AFFLE,Affle 3i Ltd.
AJANTPHARM,Ajanta Pharmaceuticals Ltd.
AKUMS,Akums Drugs and Pharmaceuticals Ltd.
APLLTD,Alembic Pharmaceuticals Ltd.
ALIVUS,Alivus Life Sciences Ltd.
ALKEM,Alkem Laboratories Ltd.
ALKYLAMINE,Alkyl Amines Chemicals Ltd.
ALOKINDS,Alok Industries Ltd.
ARE&M,Amara Raja Energy & Mobility Ltd.
AMBER,Amber Enterprises India Ltd.
AMBUJACEM,Ambuja Cements Ltd.
ANANDRATHI,Anand Rathi Wealth Ltd.
ANANTRAJ,Anant Raj Ltd.
ANGELONE,Angel One Ltd.
APARINDS,Apar Industries Ltd.
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.
APOLLOTYRE,Apollo Tyres Ltd.
APTUS,Aptus Value Housing Finance India Ltd.
ASAHIINDIA,Asahi India Glass Ltd.
ASHOKLEY,Ashok Leyland Ltd.
ASIANPAINT,Asian Paints Ltd.
ASTERDM,Aster DM Healthcare Ltd.
ASTRAZEN,AstraZenca Pharma India Ltd.
ASTRAL,Astral Ltd.
ATUL,Atul Ltd.
AUROPHARMA,Aurobindo Pharma Ltd.
AIIL,Authum Investment & Infrastructure Ltd.
DMART,Avenue Supermarts Ltd.
AXISBANK,Axis Bank Ltd.
BASF,BASF India Ltd.
BEML,BEML Ltd.
BLS,BLS International Services Ltd.
BSE,BSE Ltd.
BAJAJ-AUTO,Bajaj Auto Ltd.
BAJFINANCE,Bajaj Finance Ltd.
BAJAJFINSV,Bajaj Finserv Ltd.
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.
BAJAJHFL,Bajaj Housing Finance Ltd.
BALKRISIND,Balkrishna Industries Ltd.
BALRAMCHIN,Balrampur Chini Mills Ltd.
BANDHANBNK,Bandhan Bank Ltd.
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
MAHABANK,Bank of Maharashtra
BATAINDIA,Bata India Ltd.
BAYERCROP,Bayer Cropscience Ltd.
BERGEPAINT,Berger Paints India Ltd.
BDL,Bharat Dynamics Ltd.
BEL,Bharat Electronics Ltd.
BHARATFORG,Bharat Forge Ltd.
BHEL,Bharat Heavy Electricals Ltd.
BPCL,Bharat Petroleum Corporation Ltd.
BHARTIARTL,Bharti Airtel Ltd.
BHARTIHEXA,Bharti Hexacom Ltd.
BIKAJI,Bikaji Foods International Ltd.
BIOCON,Biocon Ltd.
BSOFT,Birlasoft Ltd.
BLUEDART,Blue Dart Express Ltd.
BLUESTARCO,Blue Star Ltd.
BBTC,Bombay Burmah Trading Corporation Ltd.
BOSCHLTD,Bosch Ltd.
FIRSTCRY,Brainbees Solutions Ltd.
BRIGADE,Brigade Enterprises Ltd.
BRITANNIA,Britannia Industries Ltd.
MAPMYINDIA,C.E. Info Systems Ltd.
CCL,CCL Products (I) Ltd.
CESC,CESC Ltd.
CGPOWER,CG Power and Industrial Solutions Ltd.
CRISIL,CRISIL Ltd.
CAMPUS,Campus Activewear Ltd.
CANFINHOME,Can Fin Homes Ltd.
CANBK,Canara Bank
CAPLIPOINT,Caplin Point Laboratories Ltd.
CGCL,Capri Global Capital Ltd.
CARBORUNIV,Carborundum Universal Ltd.
CASTROLIND,Castrol India Ltd.
CEATLTD,Ceat Ltd.
CENTRALBK,Central Bank of India
CDSL,Central Depository Services (India) Ltd.
CENTURYPLY,Century Plyboards (India) Ltd.
CERA,Cera Sanitaryware Ltd
CHALET,Chalet Hotels Ltd.
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.
CHENNPETRO,Chennai Petroleum Corporation Ltd.
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.
CIPLA,Cipla Ltd.
CUB,City Union Bank Ltd.
CLEAN,Clean Science and Technology Ltd.
COALINDIA,Coal India Ltd.
COCHINSHIP,Cochin Shipyard Ltd.
COFORGE,Coforge Ltd.
COHANCE,Cohance Lifesciences Ltd.
COLPAL,Colgate Palmolive (India) Ltd.
CAMS,Computer Age Management Services Ltd.
CONCORDBIO,Concord Biotech Ltd.
CONCOR,Container Corporation of India Ltd.
COROMANDEL,Coromandel International Ltd.
CRAFTSMAN,Craftsman Automation Ltd.
CREDITACC,CreditAccess Grameen Ltd.
CROMPTON,Crompton Greaves Consumer Electricals Ltd.
CUMMINSIND,Cummins India Ltd.
CYIENT,Cyient Ltd.
DCMSHRIRAM,DCM Shriram Ltd.
DLF,DLF Ltd.
DOMS,DOMS Industries Ltd.
DABUR,Dabur India Ltd.
DALBHARAT,Dalmia Bharat Ltd.
DATAPATTNS,Data Patterns (India) Ltd.
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.
DEEPAKNTR,Deepak Nitrite Ltd.
DELHIVERY,Delhivery Ltd.
DEVYANI,Devyani International Ltd.
DIVISLAB,Divi's Laboratories Ltd.
DIXON,Dixon Technologies (India) Ltd.
LALPATHLAB,Dr. Lal Path Labs Ltd.
DRREDDY,Dr. Reddy's Laboratories Ltd.
DUMMYDBRLT,Dummy Valor Estate Ltd.
EIDPARRY,E.I.D. Parry (India) Ltd.
EIHOTEL,EIH Ltd.
EICHERMOT,Eicher Motors Ltd.
ELECON,Elecon Engineering Co. Ltd.
ELGIEQUIP,Elgi Equipments Ltd.
EMAMILTD,Emami Ltd.
EMCURE,Emcure Pharmaceuticals Ltd.
ENDURANCE,Endurance Technologies Ltd.
ENGINERSIN,Engineers India Ltd.
ERIS,Eris Lifesciences Ltd.
ESCORTS,Escorts Kubota Ltd.
ETERNAL,Eternal Ltd.
EXIDEIND,Exide Industries Ltd.
NYKAA,FSN E-Commerce Ventures Ltd.
FEDERALBNK,Federal Bank Ltd.
FACT,Fertilisers and Chemicals Travancore Ltd.
FINCABLES,Finolex Cables Ltd.
FINPIPE,Finolex Industries Ltd.
FSL,Firstsource Solutions Ltd.
FIVESTAR,Five-Star Business Finance Ltd.
FORTIS,Fortis Healthcare Ltd.
GAIL,GAIL (India) Ltd.
GVT&D,GE Vernova T&D India Ltd.
GMRAIRPORT,GMR Airports Ltd.
GRSE,Garden Reach Shipbuilders & Engineers Ltd.
GICRE,General Insurance Corporation of India
GILLETTE,Gillette India Ltd.
GLAND,Gland Pharma Ltd.
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.
GLENMARK,Glenmark Pharmaceuticals Ltd.
MEDANTA,Global Health Ltd.
GODIGIT,Go Digit General Insurance Ltd.
GPIL,Godawari Power & Ispat Ltd.
GODFRYPHLP,Godfrey Phillips India Ltd.
GODREJAGRO,Godrej Agrovet Ltd.
GODREJCP,Godrej Consumer Products Ltd.
GODREJIND,Godrej Industries Ltd.
GODREJPROP,Godrej Properties Ltd.
GRANULES,Granules India Ltd.
GRAPHITE,Graphite India Ltd.
GRASIM,Grasim Industries Ltd.
GRAVITA,Gravita India Ltd.
GESHIP,Great Eastern Shipping Co. Ltd.
FLUOROCHEM,Gujarat Fluorochemicals Ltd.
GUJGASLTD,Gujarat Gas Ltd.
GMDCLTD,Gujarat Mineral Development Corporation Ltd.
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.
GPPL,Gujarat Pipavav Port Ltd.
GSPL,Gujarat State Petronet Ltd.
HEG,H.E.G. Ltd.
HBLENGINE,HBL Engineering Ltd.
HCLTECH,HCL Technologies Ltd.
HDFCAMC,HDFC Asset Management Company Ltd.
HDFCBANK,HDFC Bank Ltd.
HDFCLIFE,HDFC Life Insurance Company Ltd.
HFCL,HFCL Ltd.
HAPPSTMNDS,Happiest Minds Technologies Ltd.
HAVELLS,Havells India Ltd.
HEROMOTOCO,Hero MotoCorp Ltd.
