symbol,sector,qty,avg_cost,last_mark,unrealized_pl_pct,entry_date,entry_score,peak_score,last_score
ADANIPOWER,Utilities,60,163.163,230.19,41.0798,2026-04-07,16.05,28.2,-21.35
ADANIENSOL,Utilities,8,1183.3322,1387.1,17.2198,2026-04-16,2.15,2.15,-21.15
ABFRL,Consumer Cyclical,156,64.2642,67.79,5.4864,2026-04-16,0.7,0.7,-15.6
BHEL,Industrials,34,294.6644,406.45,37.9366,2026-04-16,-8.4,-1.8,-14.0
RVNL,Industrials,37,297.4071,308.7,3.7971,2026-04-22,5.2,5.2,-5.9
HUDCO,Financial Services,49,215.215,228.01,5.9452,2026-04-29,16.7,16.7,-35.05
HDFCLIFE,Financial Services,17,626.1255,626.1255,0.0,2026-05-08,42.35,42.35,42.35
MARICO,Consumer Defensive,12,832.9822,832.9822,0.0,2026-05-08,27.6,27.6,27.6
YESBANK,Financial Services,476,22.4925,22.4925,0.0,2026-05-08,26.8,26.8,26.8
BHARATFORG,Consumer Cyclical,2,2011.4094,2011.4094,0.0,2026-05-08,23.35,23.35,23.35
